/*********************************************
 * OPL 12.10.0.0 Data
 * Author: vu
 * Creation Date: Nov 3, 2020 at 10:32:30 AM
 *********************************************/

 // G(V, E)
 
n = 4; // cardinal 

 // Cost
 // c_ij
//C = [[999,2,3],[2,999,4],[3,4,999]];
C = [[0, 10, 15, 20], 
	 [10, 0, 35, 25], 
     [15, 35, 0, 30], 
     [20, 25, 0]];
/*
C = [
	[9999,2,1,5],
	[2,9999,7,3],
	[1,7,9999,4],
	[5,3,4,9999]
	];
	

C = [
 [0, 3, 5, 48, 48, 8, 8, 5, 5, 3, 3, 0, 3, 5, 8, 8, 5]
 [3, 0, 3, 48, 48, 8, 8, 5, 5, 0, 0, 3, 0, 3, 8, 8, 5]
 [5, 3, 0, 72, 72, 48, 48, 24, 24, 3, 3, 5, 3, 0, 48, 48, 24]
 [48, 48, 74, 0, 0, 6, 6, 12, 12, 48, 48, 48, 48, 74, 6, 6, 12]
 [48, 48, 74, 0, 0, 6, 6, 12, 12, 48, 48, 48, 48, 74, 6, 6, 12]
 [8, 8, 50, 6, 6, 0, 0, 8, 8, 8, 8, 8, 8, 50, 0, 0, 8]
 [8, 8, 50, 6, 6, 0, 0, 8, 8, 8, 8, 8, 8, 50, 0, 0, 8]
 [5, 5, 26, 12, 12, 8, 8, 0, 0, 5, 5, 5, 5, 26, 8, 8, 0]
 [5, 5, 26, 12, 12, 8, 8, 0, 0, 5, 5, 5, 5, 26, 8, 8, 0]
 [3, 0, 3, 48, 48, 8, 8, 5, 5, 0, 0, 3, 0, 3, 8, 8, 5]
 [3, 0, 3, 48, 48, 8, 8, 5, 5, 0, 0, 3, 0, 3, 8, 8, 5]
 [0, 3, 5, 48, 48, 8, 8, 5, 5, 3, 3, 0, 3, 5, 8, 8, 5]
 [3, 0, 3, 48, 48, 8, 8, 5, 5, 0, 0, 3, 0, 3, 8, 8, 5]
 [5, 3, 0, 72, 72, 48, 48, 24, 24, 3, 3, 5, 3, 0, 48, 48, 24]
 [8, 8, 50, 6, 6, 0 0, 8, 8, 8, 8, 8, 8, 50, 0, 0, 8]
 [8, 8, 50, 6, 6, 0 0, 8, 8, 8, 8, 8, 8, 50, 0, 0, 8]
 [5, 5, 26, 12, 12, 8, 8, 0, 0, 5, 5, 5, 5, 26, 8, 8, 0]
];*/
